root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
,,2021-09-14,,ACON S2 Acquisition Corp.,"GWH, GWH-WT",0001819438,1819438,"George Town, Cayman Islands",Cayman Islands,333-257232,211252553,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-257232&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819438/000119312521272876/0001193125-21-272876-index.html,https://www.sec.gov/Archives/edgar/data/1819438/000119312521272876/d129808d424b3.htm
,,2021-08-10,,Atlas Crest Investment Corp.,"ACHR, ACHR-WT",0001824502,1824502,"New York, New York",Delaware,333-254007,211158659,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254007&action=getcompany,https://www.sec.gov/Archives/edgar/data/1824502/000110465921102597/0001104659-21-102597-index.html,https://www.sec.gov/Archives/edgar/data/1824502/000110465921102597/tm218061-26_s4a.htm
,,2021-08-11,,Atlas Crest Investment Corp.,"ACHR, ACHR-WT",0001824502,1824502,"New York, New York",Delaware,333-254007,211164729,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254007&action=getcompany,https://www.sec.gov/Archives/edgar/data/1824502/000110465921103598/0001104659-21-103598-index.html,https://www.sec.gov/Archives/edgar/data/1824502/000110465921103598/tm218061-36_424b3.htm
,,2021-09-29,,GS Acquisition Holdings Corp II,MIR,0001809987,1809987,"New York, New York",Delaware,333-257535,211292544,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-257535&action=getcompany,https://www.sec.gov/Archives/edgar/data/1809987/000119312521286856/0001193125-21-286856-index.html,https://www.sec.gov/Archives/edgar/data/1809987/000119312521286856/d188983d424b3.htm
,,2021-08-02,,Rotor Acquisition Corp.,"PDYN, PDYNW",0001826681,1826681,"New York, New York",Delaware,001-39897,211134346,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39897&action=getcompany,https://www.sec.gov/Archives/edgar/data/1826681/000156459021039609/0001564590-21-039609-index.html,https://www.sec.gov/Archives/edgar/data/1826681/000156459021039609/rot-prer14a_20210802.htm
,,2021-08-11,,"dMY Technology Group, Inc. III","IONQ, IONQ-WT",0001824920,182492,"Las Vegas, Nevada",Delaware,333-254840,211161702,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254840&action=getcompany,https://www.sec.gov/Archives/edgar/data/182492/000119312521242312/0001193125-21-242312-index.html,https://www.sec.gov/Archives/edgar/data/182492/000119312521242312/d70340ds4a.htm
,,2021-06-07,,Atlas Crest Investment Corp.,"ACHR, ACHR-WT",0001824502,1824502,"New York, New York",Delaware,333-254007,21998083,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254007&action=getcompany,https://www.sec.gov/Archives/edgar/data/1824502/000110465921077268/0001104659-21-077268-index.html,https://www.sec.gov/Archives/edgar/data/1824502/000110465921077268/tm218061-11_s4a.htm
,,2021-08-12,,"dMY Technology Group, Inc. III","IONQ, IONQ-WT",0001824920,182492,"Las Vegas, Nevada",Delaware,333-254840,211168760,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254840&action=getcompany,https://www.sec.gov/Archives/edgar/data/182492/000119312521244892/0001193125-21-244892-index.html,https://www.sec.gov/Archives/edgar/data/182492/000119312521244892/d70340d424b3.htm
,,2021-06-04,,Atlas Crest Investment Corp.,"ACHR, ACHR-WT",0001824502,1824502,"New York, New York",Delaware,333-254007,21997184,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-254007&action=getcompany,https://www.sec.gov/Archives/edgar/data/1824502/000110465921077118/0001104659-21-077118-index.html,https://www.sec.gov/Archives/edgar/data/1824502/000110465921077118/tm218061-4_s4a.htm
,,2021-05-27,,DREYFUS GOVERNMENT CASH MANAGEMENT FUNDS,,0000740766,740766,"New York, New York",[],811-03964,21969445,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-03964&action=getcompany,https://www.sec.gov/Archives/edgar/data/740766/000074076621000008/0000740766-21-000008-index.html,https://www.sec.gov/Archives/edgar/data/740766/000074076621000008/ck0000740766-20210524.htm
